,city,latitude,temperature,humidity,cloudiness,wind speed
0,Cape Town,-33.93,57.2,67,0,5.82
1,Tema,5.66,78.8,83,75,14.99
2,Freeport,26.54,89.6,66,75,3.36
3,Albany,42.65,89.82,36,40,3.36
4,Ostrovnoy,68.05,55.68,74,0,12.75
5,Punta Arenas,-53.16,33.8,86,20,9.17
6,Salalah,17.01,78.8,88,75,5.82
7,Natitingou,10.31,75.2,83,75,3.36
8,Kruisfontein,-34.0,57.57,88,0,13.2
9,Boysun,38.2,63.96,53,0,2.24
10,Zeya,53.74,61.26,94,56,2.35
11,Saskylakh,71.97,41.1,65,88,8.84
12,Busselton,-33.64,59.01,100,80,15.66
13,Bluff,-23.58,39.39,73,0,4.03
14,Tiksi,71.64,41.46,72,0,15.21
15,Upernavik,72.79,36.6,100,32,16.33
16,New Norfolk,-42.78,50.0,71,40,16.11
17,Kukmor,56.19,73.77,75,12,6.15
18,Qaanaaq,77.48,34.17,100,68,4.59
19,Ushuaia,-54.81,32.0,100,20,3.58
20,Saint George,39.45,84.2,39,20,4.7
21,Hilo,19.71,66.99,78,75,4.7
22,Khani,41.96,69.8,94,75,6.93
23,Iralaya,15.0,89.6,66,40,10.29
24,Kaitangata,-46.28,44.7,87,0,10.96
25,Ballina,54.11,59.0,72,75,14.99
26,Kapaa,22.08,76.8,88,90,14.99
27,Sept-Iles,50.2,64.4,77,75,10.29
28,Jamestown,-33.21,46.77,68,0,15.77
29,Rikitea,-23.12,66.93,100,92,13.98
30,Ribeira Grande,38.52,73.4,60,20,5.82
31,Sao Joao da Barra,-21.64,84.2,39,0,19.01
32,Thompson,55.74,59.0,51,20,9.17
33,Hasaki,35.73,77.0,100,75,4.7
34,Tam Ky,15.57,80.6,94,75,1.12
35,Kotelniki,55.66,77.47,69,75,6.71
36,Atuona,-9.8,78.27,100,24,15.43
37,Hokitika,-42.72,51.45,100,92,12.97
38,Faanui,-16.48,77.73,100,48,14.43
39,Kalianget,-7.74,68.73,100,0,5.7
40,Yaan,7.38,77.91,83,88,9.95
41,Menongue,-14.66,62.61,34,0,4.81
42,Ponta do Sol,-20.63,78.0,45,0,4.47
43,Longyearbyen,78.22,46.4,75,40,13.87
44,Port Hedland,-20.31,55.4,66,0,4.7
45,Wanning,48.64,73.4,53,20,9.17
46,Progreso,-34.68,50.0,66,75,14.99
47,Hurricane,37.18,86.5,38,1,3.24
48,Nyurba,63.29,58.65,66,100,5.26
49,Mar del Plata,-46.43,39.93,81,0,3.91
50,Bredasdorp,-34.53,60.8,72,44,5.82
51,Derzhavinsk,51.1,73.59,52,12,11.74
52,Chokurdakh,70.62,44.88,100,100,7.16
53,Ubinskoye,55.31,63.15,58,0,9.62
54,Hami,42.84,73.5,42,68,3.8
55,Kurilsk,45.23,51.36,97,92,13.2
56,Beirut,33.9,82.4,78,20,5.82
57,Camocim,-2.9,86.91,57,48,6.93
58,Mosjoen,65.84,78.03,34,20,8.05
59,Constitucion,23.99,69.8,56,75,9.17
60,Arraial do Cabo,-22.97,83.34,51,0,6.93
61,Norman Wells,65.28,62.6,77,75,2.24
62,Alice Springs,-23.7,44.6,26,0,7.16
63,Puerto Ayora,-0.74,82.4,58,20,19.46
